brand,model,approx_price_EUR,primary_camera,secondary_camera,WLAN,bluetooth,sensors,colors,internal_memory,release_year,release_month/quarter,removable/non-removable,battery_type,battery_current,display_resolution,display_size,GPRS,EDGE,dimentions,SIM,CPU,Chipset,GPU,memory_card,RAM,GPS,OS,label
72.0,1165.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,23.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1165.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,22.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1214.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,595.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,246.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1161.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,595.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,246.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1155.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,411.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1477.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1155.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,23.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1477.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1155.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,24.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1477.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1223.0,162.02877697841726,16.0,4.0,0.0,8.0,8.0,595.0,35.0,2010.0,9.0,1.0,9.0,0.0,44.0,75.0,1.0,4.0,1308.0,11.0,84.0,16.0,4.0,46.0,18.0,2.0,63.0,1.0
72.0,1222.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,526.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,1224.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1221.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,515.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1221.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,147.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1218.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,417.0,35.0,2010.0,9.0,1.0,9.0,33.0,44.0,75.0,1.0,4.0,1326.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1217.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,595.0,35.0,2010.0,9.0,1.0,9.0,33.0,44.0,75.0,1.0,4.0,1480.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1216.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,41.0,21.0,58.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1216.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,250.0,127.0,2010.0,9.0,1.0,9.0,41.0,21.0,58.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
